Location;Lat;Long;cases;Summary;Link
Olimpiadskiy GOK;59.8596;92.9155;1191;;https://meduza.io/feature/2020/05/21/na-krupneyshem-mestorozhdenii-zolota-v-krasnoyarskom-krae-u-soten-rabochih-obnaruzhili-covid-19-region-vyshel-v-lidery-po-prirostu-zabolevaemosti
Usinsk;66.0002;57.541;23;;http://www.angi.ru/news/2880843-%D0%92%D1%81%D0%BF%D1%8B%D1%88%D0%BA%D0%B0-%D0%BA%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81%D0%BD%D0%BE%D0%B9-%D0%B8%D0%BD%D1%84%D0%B5%D0%BA%D1%86%D0%B8%D0%B8-%D0%B7%D0%B0%D1%84%D0%B8%D0%BA%D1%81%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B0-%D1%81%D1%80%D0%B5%D0%B4%D0%B8-%D0%B2%D0%B0%D1%85%D1%82%D0%BE%D0%B2%D0%B8%D0%BA%D0%BE%D0%B2-%D0%BD%D0%B0-%D0%BC%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8-%D0%B2-%D0%9A%D0%BE%D0%BC%D0%B8/
Varandeyskoe oilfield;68.7835;58.199;36;;https://www.dp.ru/a/2020/05/16/Na_neftjanom_mestorozhdenii
Trebs and Titov oilfield;68.6532;57.8282;2;;https://www.dp.ru/a/2020/05/16/Na_neftjanom_mestorozhdenii
Uvatskoe oilfield;57.00;70.15;53;;https://www.interfax-russia.ru/ural/news/14-sluchaev-zarazheniya-covid-19-obnaruzheny-u-sotrudnikov-rabotayushchih-na-neftyanom-mestorozhdenii-v-tyumenskoy-oblasti
Priobskoe oilfield;61.3339;70.3142;50;;https://www.interfax-russia.ru/ural/news/poryadka-50-sluchaev-zarazheniya-covid-19-v-hmao-prishlis-na-mestorozhdeniya-gubernator
Chayandinskoe oilfield;60.4633;112.4722;3500;;https://meduza.io/news/2020/05/02/zampred-pravitelstva-yakutii-soobschila-o-koronaviruse-u-3500-rabotnikov-chayandinskogo-mestorozhdeniya-a-potom-udalila-post
Sabetta;71.2694;71.9807;763;;https://www.interfax-russia.ru/ural/main/chislo-zarazhennyh-covid-19-na-mestorozhdeniyah-v-sabette-rastet-treti-sutki
Salehard;66.5364;66.6355;46;;https://www.interfax-russia.ru/ural/news/bolee-90-novyh-sluchaev-koronavirusa-podtverzhdeno-na-mestorozhdeniyah-yanao-65-iz-nih-v-yamalskom-rayone
Bovanenkovskoe oilfield;70.4837;68.0001;20;;https://www.rbc.ru/business/27/03/2020/5e7db4379a7947b24a8629ff
Kenai Peninsula Borough;60.4213;-151.2502;10;Two of the employees -- who were identified as working for a Kenai Peninsula Borough seafood processor -- were screened in Anchorage upon their arrival from out of the state. The employees were taken directly to company housing, where they tested positive for COVID-19 on May 24, DHHS said.;https://www.intrafish.com/processing/four-more-seafood-workers-in-alaska-test-positive-for-coronavirus-35-potentially-exposed-at-one-group/2-1-814885
Prudhoe Bay;70.3281;-148.712;1;;https://www.arctictoday.com/a-prudhoe-bay-worker-becomes-the-first-covid-19-patient-in-alaskas-north-slope-oil-fields/
